Date,Close
6/23/2025 16:00:00,208.47
6/24/2025 16:00:00,212.77
6/25/2025 16:00:00,211.99
6/26/2025 16:00:00,217.12
6/27/2025 16:00:00,223.30
6/30/2025 16:00:00,219.39
7/1/2025 16:00:00,220.46
7/2/2025 16:00:00,219.92
7/3/2025 13:05:00,223.41
7/7/2025 16:00:00,223.47
7/8/2025 16:00:00,219.36
7/9/2025 16:00:00,222.54
7/10/2025 16:00:00,222.26
7/11/2025 16:00:00,225.02
7/14/2025 16:00:00,225.69
7/15/2025 16:00:00,226.35
7/16/2025 16:00:00,223.19
7/17/2025 16:00:00,223.88
7/18/2025 16:00:00,226.13
7/21/2025 16:00:00,229.30
7/22/2025 16:00:00,227.47
7/23/2025 16:00:00,228.29
7/24/2025 16:00:00,232.23
7/25/2025 16:00:00,231.44
7/28/2025 16:00:00,232.79
7/29/2025 16:00:00,231.01
7/30/2025 16:00:00,230.19
7/31/2025 16:00:00,234.11
8/1/2025 16:00:00,214.75
8/4/2025 16:00:00,211.65
8/5/2025 16:00:00,213.75
8/6/2025 16:00:00,222.31
8/7/2025 16:00:00,223.13
8/8/2025 16:00:00,222.69
8/11/2025 16:00:00,221.30
8/12/2025 16:00:00,221.47
8/13/2025 16:00:00,224.56
8/14/2025 16:00:00,230.98
8/15/2025 16:00:00,231.03
8/18/2025 16:00:00,231.49
8/19/2025 16:00:00,228.01
8/20/2025 16:00:00,223.81
8/21/2025 16:00:00,221.95
8/22/2025 16:00:00,228.84
8/25/2025 16:00:00,227.94
8/26/2025 16:00:00,228.71
8/27/2025 16:00:00,229.12
8/28/2025 16:00:00,231.60
8/29/2025 16:00:00,229.00
9/2/2025 16:00:00,225.34
9/3/2025 16:00:00,225.99
9/4/2025 16:00:00,235.68
9/5/2025 16:00:00,232.33
9/8/2025 16:00:00,235.84
9/9/2025 16:00:00,238.24
9/10/2025 16:00:00,230.33
9/11/2025 16:00:00,229.95
9/12/2025 16:00:00,228.15
9/15/2025 16:00:00,231.43
9/16/2025 16:00:00,234.05
9/17/2025 16:00:00,231.62
9/18/2025 16:00:00,231.23
9/19/2025 16:00:00,231.48
9/22/2025 16:00:00,227.63
9/23/2025 16:00:00,220.71
9/24/2025 16:00:00,220.21
9/25/2025 16:00:00,218.15
9/26/2025 16:00:00,219.78
9/29/2025 16:00:00,222.17
9/30/2025 16:00:00,219.57
